"Match Name",Sport,Region,"Region Code","Game Date","Game Time","Game Info","Relative Path","Full URL","Custom Slug","Team 1 Mascot","Team 2 Mascot","Team 1 URL","Team 2 URL","Team 1 Thumb","Team 2 Thumb"
"Center Point vs Carver Birmingham",Football,Alabama,al,2026-09-10,7:00pm,"The Center Point varsity football team has an away non-conference game @  Carver Birmingham (Birmingham, AL) on Thursday, September 10 @ 7p.",/al/football/game/carver-birmingham-vs-center-point-birmingham/9-10-2026/?c=e6a8292c-8756-47ac-b69d-e56f0a3e8459,https://www.maxpreps.com/al/football/game/carver-birmingham-vs-center-point-birmingham/9-10-2026/?c=e6a8292c-8756-47ac-b69d-e56f0a3e8459,/football/al/1134?9/10/2026,Eagles,Rams,https://www.maxpreps.com/al/carver-birmingham/football/,https://www.maxpreps.com/al/center-point-birmingham/football/,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F9%2F0%2F390377fc-f035-48ea-8789-9391c2a3ba4f.gif%3Fversion%3D638215522800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F7%2F1%2F37131336-c882-4390-8ddf-4c376d29a77d.gif%3Fversion%3D638225188800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg
"Alabama School for the Deaf vs Victory Christian",Football,Alabama,al,2026-09-10,7:00pm,"The Alabama School for the Deaf varsity football team has an away non-conference game @  Victory Christian (Columbus, MS) on Thursday, September 10 @ 7p.",/inter-state/football/game/alabama-school-for-the-deaf-talladega-al-vs-victory-christian-columbus-ms/9-10-2026/?c=65c9a263-ab6c-4967-af86-9ca561967316,https://www.maxpreps.com/inter-state/football/game/alabama-school-for-the-deaf-talladega-al-vs-victory-christian-columbus-ms/9-10-2026/?c=65c9a263-ab6c-4967-af86-9ca561967316,/football/al/1bc2?9/10/2026,"Silent Warriors",Eagles,https://www.maxpreps.com/al/alabama-school-for-the-deaf-talladega-al/football/,https://www.maxpreps.com/al/victory-christian-columbus-ms/football/,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2F1%2Ff%2F41f500e5-55f0-417c-a0b0-7adb8adea48a.gif%3Fversion%3D638624176232122140%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Fc%2F5%2F7c502b1f-35e2-42ec-ac1f-431410779c1a.gif%3Fversion%3D636405616200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg
"John Carroll Catholic vs St. John Paul II",Football,Alabama,al,2026-09-10,7:00pm,"The John Carroll Catholic varsity football team has an away non-conference game @  St. John Paul II (Huntsville, AL) on Thursday, September 10 @ 7p.",/al/football/game/john-carroll-catholic-birmingham-vs-st-john-paul-ii-huntsville/9-10-2026/?c=0641f7f0-7da4-44e3-a333-743c453a8ce2,https://www.maxpreps.com/al/football/game/john-carroll-catholic-birmingham-vs-st-john-paul-ii-huntsville/9-10-2026/?c=0641f7f0-7da4-44e3-a333-743c453a8ce2,/football/al/17e9?9/10/2026,"The Cavaliers",Falcons,https://www.maxpreps.com/al/john-carroll-catholic-birmingham/football/,https://www.maxpreps.com/al/st-john-paul-ii-huntsville/football/,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F1%2F2%2F9122ba06-6592-43e6-9787-3ad081afcbb1.gif%3Fversion%3D638235460800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F6%2F3%2F863ff616-4589-46d1-a2c4-879da6e3a7c9.gif%3Fversion%3D638249396400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg
"Conecuh Springs Christian vs Cornerstone Christian",Football,Alabama,al,2026-09-10,7:00pm,"The Conecuh Springs Christian varsity football team has an away non-conference game @  Cornerstone Christian (Rainsville, AL) on Thursday, September 10 @ 7p.",/al/football/game/conecuh-springs-christian-union-springs-vs-cornerstone-christian-rainsville/9-10-2026/?c=c4168bdb-eff6-430d-a29b-35f4ee4768bf,https://www.maxpreps.com/al/football/game/conecuh-springs-christian-union-springs-vs-cornerstone-christian-rainsville/9-10-2026/?c=c4168bdb-eff6-430d-a29b-35f4ee4768bf,/football/al/1de0?9/10/2026,Eagles,Eagles,https://www.maxpreps.com/al/conecuh-springs-christian-union-springs/football/,https://www.maxpreps.com/al/cornerstone-christian-rainsville/football/,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2Fe%2F7%2Fde78ae08-cac6-4cb0-8132-a09925dc3b1c.gif%3Fversion%3D636541305000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2Fd%2F2%2F8d2bcfc9-da71-4a1c-a7eb-fe5e14b94ec7.gif%3Fversion%3D636729690600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg
"Helena vs Mountain Brook",Football,Alabama,al,2026-09-10,7:00pm,"The Helena varsity football team has an away conference game @  Mountain Brook (Birmingham, AL) on Thursday, September 10 @ 7p.",/al/football/game/helena-vs-mountain-brook-birmingham/9-10-2026/?c=23e0ee94-c476-4b94-b00d-3c4aef8d444d,https://www.maxpreps.com/al/football/game/helena-vs-mountain-brook-birmingham/9-10-2026/?c=23e0ee94-c476-4b94-b00d-3c4aef8d444d,/football/al/db0?9/10/2026,Huskies,Spartans,https://www.maxpreps.com/al/helena/football/,https://www.maxpreps.com/al/mountain-brook-birmingham/football/,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F7%2F5%2Fd7509e5a-609e-4a7f-a990-e77a31d086ab.gif%3Fversion%3D638234685600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F6%2Fb%2Ff6b850b6-0e78-4e01-beae-4dadc185bc43.gif%3Fversion%3D638241475800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg
"Cardinal Newman vs West Boca Raton",Football,Alabama,al,2026-09-10,6:30pm,"The Cardinal Newman varsity football team has an away non-conference game @  West Boca Raton (Boca Raton, FL) on Thursday, September 10 @ 6:30p.",/fl/football/game/cardinal-newman-west-palm-beach-vs-west-boca-raton/9-10-2026/?c=ce82a3f7-e6bd-44fa-9427-6220ab01a04d,https://www.maxpreps.com/fl/football/game/cardinal-newman-west-palm-beach-vs-west-boca-raton/9-10-2026/?c=ce82a3f7-e6bd-44fa-9427-6220ab01a04d,/football/al/12f1?9/10/2026,Crusaders,Bulls,https://www.maxpreps.com/al/cardinal-newman-west-palm-beach/football/,https://www.maxpreps.com/al/west-boca-raton/football/,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Fc%2F5%2Fbc5120f5-7344-46ef-acc1-53e9d36b4e75.gif%3Fversion%3D639234067563693670%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F7%2F9%2Fe7903dfb-37a9-4b3b-af93-19f0569f5114.gif%3Fversion%3D638296082400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg
"St. Thomas Aquinas vs Dillard",Football,Alabama,al,2026-09-10,7:00pm,"The St. Thomas Aquinas varsity football team has an away non-conference game @  Dillard (Fort Lauderdale, FL) on Thursday, September 10 @ 7p.",/fl/football/game/dillard-fort-lauderdale-vs-st-thomas-aquinas-fort-lauderdale/9-10-2026/?c=e35a9df9-5440-4c87-b93b-714d5dcb3da0,https://www.maxpreps.com/fl/football/game/dillard-fort-lauderdale-vs-st-thomas-aquinas-fort-lauderdale/9-10-2026/?c=e35a9df9-5440-4c87-b93b-714d5dcb3da0,/football/al/172e?9/10/2026,Raiders,Panthers,https://www.maxpreps.com/al/dillard-fort-lauderdale/football/,https://www.maxpreps.com/al/st-thomas-aquinas-fort-lauderdale/football/,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Fd%2F1%2Fbd12f619-3d60-413e-a9ef-5742cd4a21bb.gif%3Fversion%3D637743744600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F5%2F7%2Ff577ddab-0e0f-42f9-a932-5eacd4fe4be1.gif%3Fversion%3D635930128800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg
"St. John Bosco vs Narbonne",Football,Alabama,al,2026-09-10,4:00pm,"The St. John Bosco varsity football team has an away non-conference game @  Narbonne (Harbor City, CA) on Thursday, September 10 @ 4p.",/ca/football/game/narbonne-harbor-city-vs-st-john-bosco-bellflower/9-10-2026/?c=4d5f8972-15ef-4eed-95f0-f8177d7e6d70,https://www.maxpreps.com/ca/football/game/narbonne-harbor-city-vs-st-john-bosco-bellflower/9-10-2026/?c=4d5f8972-15ef-4eed-95f0-f8177d7e6d70,/football/al/1288?9/10/2026,Braves,Gauchos,https://www.maxpreps.com/al/narbonne-harbor-city/football/,https://www.maxpreps.com/al/st-john-bosco-bellflower/football/,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2F2%2F9%2F229cf8e5-737c-418e-8f4e-f3ac3d566af4.gif%3Fversion%3D635307417600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2F3%2F3%2F2336e4f9-fbda-43b7-9767-395aca2ace78.gif%3Fversion%3D638089450800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg
"Central vs Buford",Football,Alabama,al,2026-09-10,7:30pm,"The Central varsity football team has an away non-conference game @  Buford (GA) on Thursday, September 10 @ 7:30p.",/inter-state/football/game/buford-ga-vs-central-miami-fl/9-10-2026/?c=400f88d0-7913-4a5c-8b78-4263b9103daf,https://www.maxpreps.com/inter-state/football/game/buford-ga-vs-central-miami-fl/9-10-2026/?c=400f88d0-7913-4a5c-8b78-4263b9103daf,/football/al/adc?9/10/2026,Rockets,Wolves,https://www.maxpreps.com/al/buford-ga/football/,https://www.maxpreps.com/al/central-miami-fl/football/,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Fb%2F6%2Fbb694921-d3fe-43ae-95b9-2e8d83844fd4.gif%3Fversion%3D638036831400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fd%2F0%2F6d00b044-607e-4dee-aa9b-e1fc2c6a87bc.gif%3Fversion%3D637816301400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg
"Columbus vs Palmetto",Football,Alabama,al,2026-09-10,7:30pm,"The Columbus varsity football team has an away conference game @  Palmetto (Miami, FL) on Thursday, September 10 @ 7:30p.",/fl/football/game/columbus-miami-vs-palmetto-miami/9-10-2026/?c=633eaaa1-8c2e-43fd-ba9d-7af8cce4fb67,https://www.maxpreps.com/fl/football/game/columbus-miami-vs-palmetto-miami/9-10-2026/?c=633eaaa1-8c2e-43fd-ba9d-7af8cce4fb67,/football/al/c87?9/10/2026,Explorers,Panthers,https://www.maxpreps.com/al/columbus-miami/football/,https://www.maxpreps.com/al/palmetto-miami/football/,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2Fc%2Fe%2F5ce85d4b-4ce3-48ca-8b24-2a304bba4853.gif%3Fversion%3D637698085200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg,https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2F4%2F6%2F7462bf25-2a90-49bc-a1e0-d434c9036255.gif%3Fversion%3D637726704000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg
